theTime,x,y,z,q1,q2,q3,score,(0.0,0, 0.0),(0.0,0, 0.0)
8.26,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.28,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.3,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.32,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.34,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.36,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.38,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.4,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.42,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.44,2.969433,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.46,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.48,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.5,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.52,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.54,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.559999,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.58,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.599999,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.62,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.639999,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.66,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.679999,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.7,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.72,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.74,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.76,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.78,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.8,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.82,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.84,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.86,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.88,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.9,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.92,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.94,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.96,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
8.98,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.02,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.04,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.059999,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.08,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.099999,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.12,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.139999,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.16,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.179999,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.2,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.22,2.943712,0,-11.68737,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.24,3.05677,0,-11.27659,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.26,3.200001,0,-10.43354,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.28,3.380273,0,-7.714432,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.3,3.645322,0,-5.20269,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.32,3.781076,0,-4.67067,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.34,3.819095,0,-4.127407,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.36,3.857846,0,-3.573677,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.38,3.857846,0,-3.573677,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.4,3.897432,0,-3.008018,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.42,3.897432,0,-3.008018,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.44,3.937839,0,-2.430626,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.46,3.937839,0,-2.430626,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.48,3.979049,0,-1.841759,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.5,3.979049,0,-1.841759,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.52,4.064158,0,-0.6255951,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.54,4.000007,0,0.002532959,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.559999,4.000007,0,0.002532959,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.58,4.043722,0,0.6440773,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.599999,3.977904,0,1.299782,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.62,3.867405,0,1.299782,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.639999,3.867405,0,1.299782,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.66,3.867405,0,1.299782,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.679999,3.867405,0,1.299782,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.7,3.867405,0,1.299782,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.719999,3.867405,0,1.299782,0,0,5.000001,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.74,3.756907,0,1.299778,0,0,5.000001,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.76,3.756907,0,1.299778,0,0,10,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.78,3.459466,0,0.002532959,0,0,15.00001,0,(15.2,-7, -3.3),(0.0,0, 0.0)
9.8,3.42245,0,-0.6255913,0,0,20.00001,0,(15.2,-7, -3.3),(0.0,0, 0.0)
