theTime,x,y,z,q1,q2,q3,score,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.6,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.62,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.64,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.66,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.68,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.7,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.72,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.74,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.76,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.78,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.8,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.82,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.84,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.86,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.88,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.9,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.92,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.94,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.96,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
2.98,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.02,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.04,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.06,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.08,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.1,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.12,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.14,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.16,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.18,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.2,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.22,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.24,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.26,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.28,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.3,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.32,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.34,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.36,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.38,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.4,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.42,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.44,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.46,50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.48,17.63978,0,8.753212,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.5,15.02705,0,0.002536774,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.52,10.96232,0,-13.26094,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.54,9.809914,0,-17.4073,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.56,9.175606,0,-19.77553,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.58,8.797247,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.6,8.26228,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
3.62,8.208485,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
